店舗名,電話番号,都道府県,区市町村,番地,建物名,URL,SSL
ラ・コシーナ・デ・セレーソ,050-5484-7937,広島県,広島市中区,三川町2-2,,https://lacocinadecerezo.gorp.jp/,True
百百の木,050-5492-5365,広島県,広島市中区,銀山町12-20,８７ビル1F,https://y075800.gorp.jp/,True
全席個室 楽蔵‐RAKUZO‐広島中央通り店,050-5485-7619,広島県,広島市中区,堀川町4-11,アサヒビール館6F,,False
こきゅう,050-5485-7054,広島県,広島市中区,本通り1-29,2F,https://kokyu.gorp.jp/,True
隠れ家個室居酒屋 四季彩 広島駅前店,050-5494-4837,広島県,広島市南区,松原町10-1,広島フルフォーカスビルB1,https://ya33500.gorp.jp/,True
西洋料理 ミカーサ,050-5484-1726,広島県,広島市中区,立町3-13,ひろしま国際ホテルB1,https://y000601.gorp.jp/,True
こきゅう別邸,050-5488-0634,広島県,広島市中区,立町1-8,樹里絵ビル2F,https://y620803.gorp.jp/,True
料理や 万ぷく,050-5484-8985,広島県,広島市中区,堀川町1-28,,https://y121519.gorp.jp/,True
いちりん,050-5484-4818,広島県,広島市中区,三川町10-12,STビル2F,https://y620800.gorp.jp/,True
北の味紀行と地酒 北海道 広島駅前店,050-5492-5361,広島県,広島市南区,松原町10-1,広島フルフォーカスビル5F,https://ya4f000.gorp.jp/,True
個室居酒屋 道楽ゑもん−どうらえもん−広島八丁堀店,050-5486-2389,広島県,広島市中区,堀川町4-17,小松屋ビル6F,https://ya5u800.gorp.jp/,True
宮崎県日南市 塚田農場広島八丁堀店,050-5485-3243,広島県,広島市中区,新天地5-3,かずもとやビル2F,https://y768501.gorp.jp/,True
和牛炭火焼と串焼き桜座蔵 ‐さくらざくら‐,050-5486-2373,広島県,広島市中区,堀川町3-20,エビスクラブ2F,https://sakurazakura.gorp.jp/,True
魚菜家,050-5484-8714,広島県,広島市中区,胡町2-10,グリーンビーンズビル1F,https://sakanaya.gorp.jp/,True
八海山公認 個室居酒屋越後酒房 広島駅前店,050-5488-4693,広島県,広島市南区,猿猴橋町6-17,宏和12ビル5F,https://ya1p700.gorp.jp/,True
四季や,050-5494-3731,広島県,広島市中区,袋町7-26,袋町水岡ビル2〜3F,https://y136108.gorp.jp/,True
さかな市場紙屋町店,050-5486-4652,広島県,広島市中区,紙屋町2-2-21,THビルB1,https://y017601.gorp.jp/,True
居酒屋 かめ福,050-5484-9014,広島県,広島市中区,新天地1-9,新天地レジャービル2F,https://y121513.gorp.jp/,True
全席個室 じぶんどき 広島中央通り店,050-5485-7616,広島県,広島市中区,堀川町4-11,広島アサヒビール館4F,,False
隠れ家個室 広島食材 五葉−いつは−,050-5486-2269,広島県,広島市佐伯区,五日市中央1-3-28,,https://itsuha.gorp.jp/,True
地鶏炭火焼と焼き鳥 かけはし,050-5489-0783,広島県,広島市中区,堀川町1-14,第1レックスビル1F,https://y656000.gorp.jp/,True
もつ鍋と旨いもんどんたく本店,050-5487-0658,広島県,広島市中区,流川町4-21,1F,https://batten.gorp.jp/,True
村上水軍本店,050-5488-7702,広島県,広島市中区,銀山町11-26,岡三ビル1F,https://y177600.gorp.jp/,True
個室完備 まぐろ居酒屋 さかなや道場広島駅北口店,050-5485-6301,広島県,広島市南区,松原町1-5,ホテルグランビア広島B1,https://y089234.gorp.jp/,True
鉄焼酒房 蜂ヤ中新地店,050-5487-1239,広島県,広島市中区,薬研堀2-12,セントラルゲート4ブロック4,https://hachiya-nakashinchi.gorp.jp/,True
居酒屋 かめ福,050-5484-9014,広島県,広島市中区,新天地1-9,新天地レジャービル2F,https://y121513.gorp.jp/,True
貝や 廉,050-5484-8283,広島県,広島市中区,薬研堀2-11,,https://y740001.gorp.jp/,True
四国郷土活性化 藁家88広島駅前店,050-5488-2104,広島県,広島市南区,猿猴橋町6-17,宏和12ビル4F,https://y500729.gorp.jp/,True
ラ・コシーナ・デ・セレーソ,050-5484-7937,広島県,広島市中区,三川町2-2,,https://lacocinadecerezo.gorp.jp/,True
塩焼肉とからから鍋 唐魂 ‐TOKON‐ 横川店,050-5488-4888,広島県,広島市西区,横川町2-12-12,藤本ビル1F,https://ya1s300.gorp.jp/,True
全席完全個室 創作和食 たなごころ 広島駅新幹線口店,050-5486-6786,広島県,広島市南区,松原町1-5,ホテルグランヴィア広島B1,https://tanagokoro-hiroshima.gorp.jp/,True
隠れ家個室居酒屋 道楽ぼうず広島店,050-5488-3644,広島県,広島市中区,袋町2-22,2F,https://gguk000.gorp.jp/,True
えびす海鮮 さかな市場,050-5486-1748,広島県,広島市中区,堀川町3-13,ラッキー会館ビルB1,https://y017605.gorp.jp/,True
瀬戸海人新井口店,050-5484-7027,広島県,広島市西区,草津新町2-17-12,,https://y516603.gorp.jp/,True
吟結 はなもり,050-5494-5596,広島県,広島市中区,三川町10-18,平ビル5F,https://y120003.gorp.jp/,True
新鮮 永遠の刻 ‐とわのとき‐,050-5484-3525,広島県,広島市佐伯区,五日市中央6-11-20,,https://y033705.gorp.jp/,True
旨唐揚げと居酒メシ広島ミライザカ本通り店,050-5492-3912,広島県,広島市中区,大手町1-5-8,マリーベルB1,https://y063229.gorp.jp/,True
個室海鮮居酒屋 魚地心‐uochishin‐広島店,050-5485-3541,広島県,広島市中区,堀川町5-14,2〜4F,https://y756001.gorp.jp/,True
瀬戸寿司割烹 安芸茶寮,050-5485-5801,広島県,広島市中区,三川町9-7,,https://y144400.gorp.jp/,True
青ひげ 本店,050-5486-4499,広島県,広島市中区,八丁堀8-11,,https://ya43101.gorp.jp/,True
八海山公認 個室居酒屋越後酒房 広島駅前店,050-5488-4693,広島県,広島市南区,猿猴橋町6-17,宏和12ビル5F,https://ya1p700.gorp.jp/,True
居酒屋 民宿,050-5484-1843,広島県,広島市中区,流川町2-22,,https://y186000.gorp.jp/,True
四季や,050-5494-3731,広島県,広島市中区,袋町7-26,袋町水岡ビル2〜3F,https://y136108.gorp.jp/,True
月あかり,050-5485-2430,広島県,広島市中区,大手町1-8-9,,https://y121520.gorp.jp/,True
夜景を楽しむ個室炭火焼肉 極味−きわみ−,050-5484-3580,広島県,広島市中区,堀川町5-1,大内ビル5F,https://y734700.gorp.jp/,True
肉のやま金,050-5487-2448,広島県,広島市中区,八丁堀13-18,,https://y990200.gorp.jp/,True
四季菜食 えびす坐,050-5493-5021,広島県,広島市中区,胡町6-9-2F,2F,https://y062000.gorp.jp/,True
全席個室 ウメ子の家広島新天地プラザ店,050-5484-1883,広島県,広島市中区,新天地5-13,新天地プラザ6F,,False
楽笑酒場 goji‐goji（ごじごじ）中町店,050-5494-3364,広島県,広島市中区,中町5-14,2F,https://ya21902.gorp.jp/,True
オイスターバー MABUI袋町,050-5485-9942,広島県,広島市中区,袋町2-26,1F,https://y516602.gorp.jp/,True
